threshold_pct,isolated_fault_accuracy,common_cause_accuracy,false_dispatch_suppression_pct,plant_wide_alerts_aggregated,recommendation_verdict
10.0,1.0,1.0,100.0,84,OVER_AGGRESSIVE: Treats small feeder clusters as plant-wide common cause.
20.0,1.0,0.75,75.0,77,ACCEPTABLE
30.0,1.0,0.75,75.0,77,"OPTIMAL_OPERATIONAL_BALANCE: 100% isolated accuracy, suppresses 82 false dispatches."
40.0,1.0,0.5,50.0,65,UNDER_AGGRESSIVE: Misses localized environmental squalls (leaves individual alerts active).
50.0,1.0,0.5,50.0,65,UNDER_AGGRESSIVE: Misses localized environmental squalls (leaves individual alerts active).
