farm,dataset_file,event_id,turbine_id,label,description,detector,feature_policy,n_rows,n_train,n_pred,n_event_rows,alarms_count,coverage_fbeta,accuracy,earliness_ws,max_criticality,event_detected,first_alarm_idx,first_alarm_in_window,lead_time_days,failure_classification
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_COMPAT_IF,care_2d,54358,52063,2295,2014,258,0.272,,0.0346,40,False,69,True,-0.48,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_COMPAT_IF,care_2d,53036,51888,1148,1005,320,0.6535,,0.3534,19,False,0,True,0.0,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_COMPAT_IF,care_2d,54082,52065,2017,1009,159,0.369,,0.0761,7,False,35,False,2.76,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_COMPAT_IF,care_2d,54042,52313,1729,1009,192,0.2836,,0.0699,15,False,4,False,2.97,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,0.csv,0,turb_0,anomaly_event,,RAI_COMPAT_IF,care_2d,54986,52148,2838,2012,313,0.4235,,0.1415,4,False,162,False,0.88,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_COMPAT_IF,care_2d,53702,52261,1441,1009,86,0.2808,,0.0855,5,False,18,True,-0.12,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,40.csv,40,turb_40,anomaly_event,,RAI_COMPAT_IF,care_2d,56158,51219,4939,4508,328,0.2511,,0.0692,10,False,56,False,0.61,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,42.csv,42,turb_42,anomaly_event,,RAI_COMPAT_IF,care_2d,53886,52303,1583,1007,32,0.1077,,0.0285,2,False,189,True,-1.31,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,10.csv,10,turb_10,anomaly_event,,RAI_COMPAT_IF,care_2d,53592,52323,1269,981,106,0.3739,,0.0906,0,False,76,False,1.47,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,84.csv,84,turb_84,anomaly_event,,RAI_COMPAT_IF,care_2d,53772,52335,1437,1005,12,1.0,,0.0047,5,False,59,False,1.59,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_COMPAT_IF,care_common,54358,52063,2295,2014,264,0.3451,,0.0742,23,False,83,True,-0.58,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_COMPAT_IF,care_common,53036,51888,1148,1005,95,0.3106,,0.0855,2,False,11,True,-0.08,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_COMPAT_IF,care_common,54082,52065,2017,1009,236,0.4042,,0.1195,28,False,38,False,2.74,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_COMPAT_IF,care_common,54042,52313,1729,1009,185,0.398,,0.0339,26,False,57,False,2.6,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_COMPAT_IF,care_common,53702,52261,1441,1009,55,0.1822,,0.0392,2,False,35,True,-0.24,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,42.csv,42,turb_42,anomaly_event,,RAI_COMPAT_IF,care_common,53886,52303,1583,1007,109,0.3355,,0.0719,8,False,79,True,-0.55,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,10.csv,10,turb_10,anomaly_event,,RAI_COMPAT_IF,care_common,53592,52323,1269,981,150,0.4114,,0.1485,0,False,39,False,1.73,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,84.csv,84,turb_84,anomaly_event,,RAI_COMPAT_IF,care_common,53772,52335,1437,1005,112,1.0,,0.0315,42,False,2,False,1.99,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,54358,52063,2295,2014,408,0.4395,,0.1424,68,False,0,True,0.0,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,53036,51888,1148,1005,186,0.5135,,0.211,7,False,12,True,-0.08,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,54082,52065,2017,1009,100,0.2211,,0.0444,24,False,327,False,0.73,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,54042,52313,1729,1009,358,0.5144,,0.112,44,False,34,False,2.76,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,53702,52261,1441,1009,51,0.1858,,0.0481,4,False,29,True,-0.2,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,42.csv,42,turb_42,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,53886,52303,1583,1007,120,0.3804,,0.1163,8,False,78,True,-0.54,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,10.csv,10,turb_10,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,53592,52323,1269,981,107,0.3729,,0.1247,0,False,109,False,1.24,not detected under the official CARE event criterion (max criticality < 72)
