farm,model,care_score,mean_coverage_fbeta,mean_earliness_ws,event_reliability_fbeta,mean_accuracy,n_datasets,n_anomaly_datasets,n_normal_datasets,any_anomaly_predicted,gate_status
Wind Farm A,isolation_forest,0.5345,0.4339,0.1251,0.3333,0.8902,22,11,11,True,PARTIAL
Wind Farm A,zscore_threshold,0.5062,0.1823,0.0267,0.3333,0.9944,22,11,11,True,PARTIAL
Wind Farm B,isolation_forest,0.5324,0.2355,0.0787,0.5556,0.896,15,6,9,True,PARTIAL
Wind Farm B,zscore_threshold,0.4013,0.0076,0.002,0.0,0.9985,15,6,9,True,PARTIAL
Wind Farm C,isolation_forest,0.5328,0.28,0.1319,0.4651,0.8935,58,27,31,True,PARTIAL
Wind Farm C,zscore_threshold,0.4388,0.0422,0.0167,0.1613,0.987,58,27,31,True,PARTIAL
