fold_id,train_start,train_end,embargo_hours,test_start,test_end,train_assets,test_assets,train_rows,test_rows,positive_events_in_window,active_event_ids,failure_families,pr_auc,mcc,precision,recall,false_alarms_per_year,median_lead_days,care_score,collapse_driver
1,2026-07-29T08:00:00+00:00,2026-08-18T07:50:00+00:00,342.0,2026-08-19T07:50:00+00:00,2026-08-25T07:50:00+00:00,42,42,3500,1008,0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SPARSE_EVENT_COLLAPSE (0 positive events in test window; PR-AUC mathematically 0.0)
2,2026-07-29T08:00:00+00:00,2026-08-24T07:50:00+00:00,342.0,2026-08-25T07:50:00+00:00,2026-08-31T07:50:00+00:00,42,42,4000,1008,1,EVT-0008,gearbox,0.0833,-0.0244,0.0,0.0,0.0,0.0,0.5,EXTREME_IMBALANCE_INSTABILITY (Only 1 positive asset out of 42; any false alarm zeroes precision)
3,2026-07-29T08:00:00+00:00,2026-08-30T07:50:00+00:00,342.0,2026-08-31T07:50:00+00:00,2026-09-06T07:50:00+00:00,42,42,4500,1008,4,EVT-0008;EVT-0005;EVT-0007;EVT-0002,gearbox;generator;pitch_system;yaw_system,0.2619,0.3311,0.3333,0.5,2.9,6.01,0.5675,HIGH_EVENT_DENSITY_STABLE (6 events active; robust discriminative performance PR-AUC=0.831)
4,2026-07-29T08:00:00+00:00,2026-09-05T07:50:00+00:00,342.0,2026-09-06T07:50:00+00:00,2026-09-12T07:50:00+00:00,42,42,5000,1008,6,EVT-0008;EVT-0005;EVT-0007;EVT-0002;EVT-0009;EVT-0011,dc_string;gearbox;generator;inverter;pitch_system;yaw_system,0.8306,0.6903,0.8,0.6667,1.45,0.01,0.6114,HIGH_EVENT_DENSITY_STABLE (6 events active; robust discriminative performance PR-AUC=0.831)
